month,category,revenue
2017-07,pc_gamer,
2017-07,perfumery,12910.02
2017-07,pet_shop,6605.87
2017-07,portateis_cozinha_e_preparadores_de_alimentos,
2017-07,security_and_services,
2017-07,signaling_and_security,530.19
2017-07,small_appliances,4621.36
2017-07,small_appliances_home_oven_and_coffee,
2017-07,sports_leisure,38813.41
2017-07,stationery,7091.75
2017-07,tablets_printing_image,198.0
2017-07,telephony,9064.86
2017-07,toys,24511.72
2017-07,watches_gifts,36804.56
2017-08,Unknown,5243.4
2017-08,agro_industry_and_commerce,88.0
2017-08,air_conditioning,4271.73
2017-08,art,244.7
2017-08,arts_and_craftmanship,
2017-08,audio,1050.7
2017-08,auto,20421.11
2017-08,baby,19982.13
2017-08,bed_bath_table,57137.23
2017-08,books_general_interest,3214.8
2017-08,books_imported,61.0
2017-08,books_technical,1196.38
2017-08,cds_dvds_musicals,135.0
2017-08,christmas_supplies,58.9
2017-08,cine_photo,
2017-08,computers,33700.0
2017-08,computers_accessories,35025.72
2017-08,consoles_games,8824.25
2017-08,construction_tools_construction,1180.0
2017-08,construction_tools_lights,589.0
2017-08,construction_tools_safety,8.9
2017-08,cool_stuff,41720.03
2017-08,costruction_tools_garden,1286.19
2017-08,costruction_tools_tools,
2017-08,diapers_and_hygiene,
2017-08,drinks,119.9
2017-08,dvds_blu_ray,113.4
2017-08,electronics,2854.15
2017-08,fashio_female_clothing,188.7
2017-08,fashion_bags_accessories,6617.68
2017-08,fashion_childrens_clothes,49.9
2017-08,fashion_male_clothing,1205.05
2017-08,fashion_shoes,1491.69
2017-08,fashion_sport,265.8
2017-08,fashion_underwear_beach,1111.0
2017-08,fixed_telephony,3343.54
2017-08,flowers,
2017-08,food,364.5
2017-08,food_drink,494.81
2017-08,furniture_bedroom,618.0
2017-08,furniture_decor,35511.73
2017-08,furniture_living_room,2478.07
2017-08,furniture_mattress_and_upholstery,509.39
2017-08,garden_tools,24269.4
2017-08,health_beauty,49873.9
2017-08,home_appliances,4587.05
2017-08,home_appliances_2,4004.55
2017-08,home_comfort_2,38.7
2017-08,home_confort,4000.19
2017-08,home_construction,124.8
2017-08,housewares,23733.94
2017-08,industry_commerce_and_business,956.9
2017-08,kitchen_dining_laundry_garden_furniture,1006.2
2017-08,la_cuisine,313.0
2017-08,luggage_accessories,6833.1
2017-08,market_place,1937.39
2017-08,music,
2017-08,musical_instruments,7185.55
2017-08,office_furniture,9877.36
2017-08,party_supplies,
2017-08,pc_gamer,
2017-08,perfumery,13142.09
2017-08,pet_shop,10500.79
2017-08,portateis_cozinha_e_preparadores_de_alimentos,
2017-08,security_and_services,
2017-08,signaling_and_security,377.8
2017-08,small_appliances,4297.01
2017-08,small_appliances_home_oven_and_coffee,109.06
2017-08,sports_leisure,41732.26
2017-08,stationery,6366.91
2017-08,tablets_printing_image,450.89
2017-08,telephony,10930.29
2017-08,toys,18126.87
2017-08,watches_gifts,36419.2
2017-09,Unknown,5904.14
2017-09,agro_industry_and_commerce,1993.99
2017-09,air_conditioning,1731.05
2017-09,art,388.54
2017-09,arts_and_craftmanship,
2017-09,audio,1042.59
2017-09,auto,14544.67
2017-09,baby,24366.3
2017-09,bed_bath_table,52473.2
2017-09,books_general_interest,965.14
2017-09,books_imported,290.0
2017-09,books_technical,1001.35
2017-09,cds_dvds_musicals,
2017-09,christmas_supplies,254.7
2017-09,cine_photo,69.0
